Subject,Condition,NoiseType,Set,File,Score
GO03IO21,orig,Filmton,2,3,16
GO03IO21,gauss,Filmton,2,3,15
GO03IO21,synth,Filmton,2,3,50
GO03IO21,synsmall,Filmton,2,3,52
GO03IO21,white,Filmton,2,1,0
GO03IO21,orig,Kassette,1,1,100
GO03IO21,gauss,Kassette,1,1,82
GO03IO21,synth,Kassette,1,1,16
GO03IO21,synsmall,Kassette,1,1,63
GO03IO21,orig,Kassette,1,2,61
GO03IO21,gauss,Kassette,1,2,75
GO03IO21,synth,Kassette,1,2,76
GO03IO21,synsmall,Kassette,1,2,62
GO03IO21,orig,Kassette,1,3,15
GO03IO21,gauss,Kassette,1,3,100
GO03IO21,synth,Kassette,1,3,100
GO03IO21,synsmall,Kassette,1,3,49
GO03IO21,white,Kassette,1,1,27
GO03IO21,orig,Kassette,2,1,39
GO03IO21,gauss,Kassette,2,1,50
GO03IO21,synth,Kassette,2,1,16
GO03IO21,synsmall,Kassette,2,1,51
GO03IO21,orig,Kassette,2,2,86
GO03IO21,gauss,Kassette,2,2,85
GO03IO21,synth,Kassette,2,2,86
GO03IO21,synsmall,Kassette,2,2,85
GO03IO21,orig,Kassette,2,3,62
GO03IO21,gauss,Kassette,2,3,17
GO03IO21,synth,Kassette,2,3,39
GO03IO21,synsmall,Kassette,2,3,50
GO03IO21,white,Kassette,2,1,86
GO03IO21,orig,Regen,1,1,62
GO03IO21,gauss,Regen,1,1,0
GO03IO21,synth,Regen,1,1,39
GO03IO21,synsmall,Regen,1,1,100
GO03IO21,orig,Regen,1,2,0
GO03IO21,gauss,Regen,1,2,15
GO03IO21,synth,Regen,1,2,63
GO03IO21,synsmall,Regen,1,2,16
GO03IO21,orig,Regen,1,3,100
GO03IO21,gauss,Regen,1,3,15
GO03IO21,synth,Regen,1,3,16
GO03IO21,synsmall,Regen,1,3,85
GO03IO21,white,Regen,1,1,0
GO03IO21,orig,Regen,2,1,74
GO03IO21,gauss,Regen,2,1,28
GO03IO21,synth,Regen,2,1,15
GO03IO21,synsmall,Regen,2,1,39
GO03IO21,orig,Regen,2,2,100
GO03IO21,gauss,Regen,2,2,4
GO03IO21,synth,Regen,2,2,40
GO03IO21,synsmall,Regen,2,2,100
GO03IO21,orig,Regen,2,3,40
GO03IO21,gauss,Regen,2,3,0
GO03IO21,synth,Regen,2,3,63
GO03IO21,synsmall,Regen,2,3,0
GO03IO21,white,Regen,2,1,0
GO03IO21,orig,Schallplatte,1,1,76
GO03IO21,gauss,Schallplatte,1,1,0
GO03IO21,synth,Schallplatte,1,1,75
GO03IO21,synsmall,Schallplatte,1,1,0
GO03IO21,orig,Schallplatte,1,2,62
GO03IO21,gauss,Schallplatte,1,2,0
GO03IO21,synth,Schallplatte,1,2,85
GO03IO21,synsmall,Schallplatte,1,2,40
GO03IO21,orig,Schallplatte,1,3,86
GO03IO21,gauss,Schallplatte,1,3,0
GO03IO21,synth,Schallplatte,1,3,17
GO03IO21,synsmall,Schallplatte,1,3,15
GO03IO21,white,Schallplatte,1,1,0
